absolutely,absolument
academic,académique / scolaire
access,accès / accéder
accommodation,hébergement / logement
account,compte
achievement,réalisation / accomplissement
act,agir / acte
ad,publicité
addition,addition / en plus
admire,admirer
admit,admettre
advanced,avancé
advise,conseiller
afford,avoir les moyens de
age,âge
aged,âgé / d’un certain âge
agent,agent
agreement,accord
ahead,devant / à l’avance
aim,but / viser
alarm,alarme
album,album
alcohol,alcool
alcoholic,alccolique / contenant de l’alcool
alternative,alternative / autre possibilité
amazed,étonné / stupéfait
ambition,ambition
ambitious,ambitieux / ambitieuse
analyse,analyser
analysis,analyse
announce,annoncer
announcement,annonce / déclaration
annoy,agacer / ennuyer
annoyed,agacé / énervé
annoying,agaçant / énervant
apart,séparément / à part
apologize,s’excuser
application,candidature / application
appointment,rendez-vous / nomination
appreciate,apprécier / reconnaître la valeur de
approximately,environ / approximativement
arrest,arrêter / arrestation
arrival,arrivée
assignment,devoir / mission
assist,aider / assister
atmosphere,atmosphère / ambiance
attach,attacher / joindre
attitude,attitude / comportement
attract,attirer
attraction,attraction
authority,autorité
average,moyenne / moyen
award,prix / récompense / attribuer
aware,conscient / au courant
,
backwards,en arrière
bake,cuire au four
balance,équilibre / balancer
ban,interdire / interdiction
bank (river),berge / rive
base,base
basic,de base / fondamental
basis,base / fondement
battery,batterie / pile
battle,bataille / combat
beauty,la beauté
bee,abeille
belief,croyance
bell,cloche / sonnette
bend,plier / tournant
benefit,bénéfice / avantage
better,meilleur / mieux
bite,mordre / morsure
block,bloc / bloquer
board,planche / tableau / embarquer
bomb,bombe
border,frontière / bordure
bother,déranger / se donner la peine
branch,branche / succursale
brand,marque
brave,courageux / brave
breath,souffle / respiration
breathe,resp​irer
breathing,la respiration
bride,mariée
bubble,bulle
bury,enterrer
by,par / près de
,
calm,calme / calmer
campaign,"campagne (publicitaire, politique…)"
campus,campus
candidate,candidat / candidate
cap,casquette / bouchon
captain,capitaine
careless,négligent / imprudent
category,catégorie
ceiling,plafond
celebration,célébration / fête
central,central
centre,centre
ceremony,cérémonie
chain,chaîne
challenge,défi / mettre au défi
champion,champion
channel,chaîne (TV) / canal
chapter,chapitre
charge,charger / frais / accusation
cheap,pas cher / bon marché
cheat,tricher / triche
cheerful,joyeux / enjoué
chemical,produit chimique / chimique
chest,poitrine / coffre
childhood,enfance
claim,revendiquer / déclaration
clause,phrase / proposition (grammaire) / clause (contrat)
clear,claire / dégagé / clair
click,cliquer / clic
client,client / cliente
climb,grimper / escalader
close,fermer / proche
cloth,tissu
clue,indice
coach,entraîneur / car
coal,charbon
coin,pièce de monnaie
collection,collection
coloured,coloré
combine,combiner
comment,commentaire / commenter
commercial,publicité / commercial
commit,s’engager / commettre
communication,communication
comparison,comparaison
competitor,concurrent / compétiteur
competitive,compétitif
complaint,plainte
complex,compliqué / complexe
concentrate,se concentrer
conclude,conclure
conclusion,conclusion
confident,confiant
confirm,confirmer
confuse,confondre / troubler
confused,confus / perdu
connection,connexion / lien
consequence,conséquence
consist,consister en
consume,consommer
consumer,consommateur / consommatrice
contact,contact / contacter
container,conteneur / récipient
content,contenu / satisfait
continuous,continu / ininterrompu
contrast,contraste / contraster
convenient,pratique / commode
convince,convaincre
cool,frais / génial / cool
costume,costume / déguisement
cottage,maison de campagne / gîte
cotton,coton
count,compter
countryside,campagne
court,tribunal / cour
cover,couvrir / couverture
covered,couvert
cream,crème
criminal,criminel / criminelle
cruel,cruel / cruelle
cultural,culturel / culturelle
currency,devise / monnaie
current,actuel / courant
currently,actuellement
curtain,rideau
custom,coutume / habitude
cut,couper
daily,quotidien
damage,dommage / endommager
deal,traiter / accord
decade,décennie
decorate,décorer
deep,profond
define,définir
definite,défini / certain
definition,définition
deliver,livrer
departure,départ
despite,malgré
destination,destination
determine,déterminer
determined,déterminé / résolu
development,développement
diagram,schéma
diamond,diamant
difficulty,difficulté
direct,direct / diriger
directly,directement
dirt,saleté / terre
disadvantage,désavantage
disappointed,déçu
disappointing,décevant
discount,remise / réduction
dislike,ne pas aimer
divide,diviser
documentary,documentaire
donate,faire un don
double,double / doubler
doubt,doute / douter
dressed,habillé
drop,laisser tomber / goutte
drum,tambour
drunk,ivre
due,prévu / dû
dust,poussière
duty,devoir / tâche
earthquake,tremblement de terre
eastern,oriental / de l’est
economic,économique
economy,économie
edge,bord / lisière
editor,rédacteur / éditeur
educate,éduquer / instruire
educated,instruit / éduqué
educational,éducatif
effective,efficace
effectively,efficacement / effectivement
effort,effort
election,élection
element,élément
embarrassed,gêné / embarrassé
embarrassing,gênant / embarrassant
emergency,urgence
emotion,émotion
employment,emploi / travail
empty,vide / vider
encourage,encourager
enemy,ennemi
engaged,fiancé / engagé
engineering,génie / ingénierie
entertain,divertir
entertainment,divertissement
entrance,entrée
entry,entrée / participation
environmental,environnemental
episode,épisode
equal,égal
equally,également
escape,s’échapper
essential,essentiel
eventually,finalement
examine,examiner
except,sauf
exchange,échanger / échange
excitement,excitation / enthousiasme
exhibition,exposition
expand,étendre / développer
expected,attendu / prévu
expedition,expédition
experience,expérience
experienced,expérimenté
experiment,expérience (scientifique)
explode,exploser
explore,explorer
explosion,explosion
export,exporter / exportation
extra,supplémentaire / en plus
face,visage / faire face à
fairly,assez / équitablement
familiar,familier
fancy,fantaisie / avoir envie de
far,loin
fascinating,fascinant
fashionable,à la mode
fasten,attacher / fixer
favour,faveur / service
fear,peur / craindre
feature,caractéristique / fonctionnalité
fence,clôture / barrière
fighting,combat / bagarre
file,fichier / classer
financial,financier
fire,feu / licencier
fitness,forme / condition physique
fixed,fixe / réparé
flag,drapeau
flood,inondation / inonder
flour,farine
flow,écoulement / flux / couler
fold,plier
folk,populaire / traditionnel
following,suivant / à la suite de
force,force / forcer
forever,pour toujours
