a/an,un/une
about,à propos
above,ci-dessus
across,à travers
action,action
activity,activité
actor,acteur
actress,actrice
add,ajouter
address,adresse
adult,adulte
advice,conseil
afraid,peur
after,après
afternoon,après-midi
again,à nouveau
age,âge
ago,il y a
agree,d'accord
air,air
airport,aéroport
all,tous
also,aussi
always,toujours
amazing,incroyable
and,et
angry,en colère
animal,animal
another,autre
answer,réponse
any,n'importe quel
anyone,n'importe qui
anything,n'importe quoi
apartment,appartement
apple,pomme
April,avril
area,zone
arm,bras
around,autour
arrive,arriver
art,art
article,article
artist,artiste
as,comme
ask,demander
at,à
August,août
aunt,tante
autumn,automne
away,loin
baby,bébé
back,dos
bad,mauvais
bag,sac
ball,ballon
banana,banane
band,sangle
bank (money),banque (argent)
bath,bain
bathroom,salle de bain
be,être
beach,plage
beautiful,belle
because,parce que
become,devenir
bed,lit
bedroom,chambre
beer,bière
before,avant
begin,commencer
beginning,début
behind,derrière
believe,croire
below,en dessous
best,meilleur
better,mieux
between,entre
bicycle,vélo
big,grand
bike,vélo
bill,facture
bird,oiseau
birthday,anniversaire noir
blog,blog
blonde,blond
blue,bleu
boat,bateau
body,corps
book,livre
boot,botte
bored,ennuyé
boring,ennuyeux
born,né
both,les deux
bottle,bouteille
box,boîte
boy,garçon
boyfriend,petit ami
bread,pain
break,pause
breakfast,petit-déjeuner
bring,apporter
brother,frère
brown,brun
build,construire
building,bâtiment
bus,bus
business,affaires
busy,occupé
but,mais
butter,beurre
buy,acheter
by,au
bye,au revoir
cafe,café
cake,gâteau
call,appel
camera,caméra
can,peut
cannot,ne peut pas
capital,capitale
car,voiture
card,carte
career,carrière
carrot,carotte
carry,porter
cat,chat
CD,CD
cent,cent
centre,centre
century,siècle
chair,chaise
change,changement
chart,graphique
cheap,pas cher
check,chèque
cheese,fromage
chicken,poulet
child,enfant
chocolate,chocolat
choose,choisir
cinema,cinéma
city,ville
class,classe
classroom,salle de classe
clean,nettoyer
climb,monter horloge
close,fermer
clothes,vêtements
club,club
coat,manteau
coffee,café
cold,froid
college,université
colour,couleur
come,venir
common,commun
company,entreprise
compare,comparer
complete,complet
computer,ordinateur
concert,concert
conversation,conversation
cook,cuisinier
cooking,cuisine
cool,cool
correct,correct
cost,coût
could,pourrait
country,pays
course,cours
cousin,cousin
cow,vache
cream,crème
create,créer
culture,culture
cup,tasse
customer,client
cut,couper
dad,Papa
dance,danse
dancer,danseur
dancing,danse
dangerous,dangereux
dark,sombre
date,rendez-vous
daughter,fille
day,jour
dear,chère
December,Décembre
decide,décider
delicious,délicieux
describe,décrire
description,description
design,conception
desk,bureau
detail,détail
dialogue,dialogue
dictionary,dictionnaire
