ability,Capacité
able,capable
abroad,à l'étranger
accept,accepter
accident,accident
according to,selon
achieve,réaliser
act,agir
active,actif
actually,réellement
adult,adulte
advantage,avantage
adventure,aventure
advertise,publicité
advertisement,publicité
advertising,publicité
affect,affecter
after,après
against,contre
ah,ah
airline,compagnie aérienne
alive,vivant
all,tout
all right,d'accord
allow,permettre
almost,presque
alone,seul
along,le long de
already,déjà
alternative,alternatif
although,bien que
among,parmi
amount,quantité
ancient,ancien
ankle,cheville
any,n'importe quel
anybody,n'importe qui
any more,plus
anyway,de toute façon
anywhere,n'importe où
app,application
appear,apparaître
appearance,apparence
apply,postuler
architect,architecte
architecture,architecture
argue,argumenter
argument,argumentation
army,armée
arrange,organiser
arrangement,arrangement
as,comme
asleep,endormi
assistant,assistant
athlete,athlète
attack,attaque
attend,assister
attention,attention
attractive,attirant
audience,public
author,auteur
available,disponible
average,moyen
avoid,éviter
award,récompense
awful,horrible
back,dos / arrière / revenir
background,arrière-plan / contexte
badly,mal
bar,barre / bar
baseball,base-ball
based,basé / fondé
basketball,basket-ball
bean,haricot
bear (animal),ours
beat,battre / rythme
beef,bœuf
before,avant
behave,se comporter
behaviour,comportement
belong,appartenir
belt,ceinture
benefit,avantage / bénéficier
best,meilleur
better,meilleur / mieux
between,entre
billion,milliard
bin,poubelle
biology,biologie
birth,naissance
biscuit,biscuit
bit,un peu / morceau
blank,vide / vierge
blood,sang
blow,souffler / coup
board,tableau / planche
boil,bouillir
bone,os
book,livre / réserver
borrow,emprunter
boss,patron / patronne
bottom,fond / bas
bowl,bol
brain,cerveau
bridge,pont
bright,clair / lumineux / brillant
brilliant,brillant / génial
broken,cassé / en panne
brush,brosse / brosser
burn,brûler
businessman,homme d’affaires
button,bouton
camp,camp / campement
camping,camping
can,pouvoir / boîte (de conserve)
care,soin / se soucier
careful,prudent / attentif
carefully,prudemment / avec soin
carpet,moquette / tapis
cartoon,dessin animé
case,cas / affaire / étui
cash,argent liquide
castle,château
catch,attraper
cause,cause / provoquer
celebrate,célébrer / fêter
celebrity,célébrité
certain,certain / sûr
certainly,certainement
chance,chance / occasion
character,personnage / caractère
charity,charité / association caritative
chat,discuter / discussion
check,vérifier / note (restaurant)
chef,chef cuisinier
chemistry,chimie
chip,frite / copeau / puce électronique
choice,choix
church,église
cigarette,cigarette
circle,cercle
classical,classique (musique)
clear,clair / évident
clearly,clairement
clever,intelligent / malin
climate,climat
close,fermer / proche
closed,fermé
clothing,vêtements
cloud,nuage
coach,entraîneur / car
coast,côte / littoral
code,code
colleague,collègue
collect,collecter / ramasser
column,colonne
comedy,comédie
comfortable,confortable
comment,commentaire / commenter
communicate,communiquer
community,communauté
compete,concurrencer / rivaliser
competition,compétition / concours
complain,se plaindre
completely,complètement
condition,condition / état
conference,conférence
connect,connecter / relier
connected,connecté / lié
consider,considérer
contain,contenir
context,contexte
continent,continent
continue,continuer
control,contrôler / contrôle
cook,cuisiner / cuisinier
cooker,cuisinière (appareil)
copy,copier / copie
corner,coin
correctly,correctement
count,compter
couple,couple / quelques
cover,couvrir / couverture
crazy,fou / folle
creative,créatif / créative
credit,crédit
crime,crime
criminal,criminel / criminelle
cross,traverser / croix
crowd,foule
crowded,bondé / plein de monde
cry,pleurer / cri
cupboard,placard
curly,bouclé
cycle,faire du vélo / cycle
daily,quotidien / chaque jour
danger,danger
dark,sombre / obscur
data,données
dead,mort
deal,accord / affaire / gérer
dear,cher / chère
death,mort (nom)
decision,décision
deep,profond
definitely,définitivement / certainement
degree,diplôme / degré
dentist,dentiste
department,département / rayon
depend,dépendre
desert,désert
designer,créateur / designer
destroy,détruire
detective,détective
develop,développer
device,appareil / dispositif
diary,journal intime / agenda
differently,différemment
digital,numérique
direct,diriger / direct
direction,direction / sens
director,réalisateur / directeur
disagree,ne pas être d’accord
disappear,disparaître
disaster,désastre / catastrophe
discover,découvrir
discovery,découverte
discussion,discussion
disease,maladie
distance,distance
divorced,divorcé / divorcée
document,document
double,double
download,télécharger
downstairs,en bas / à l’étage inférieur
drama,drame / théâtre
drawing,dessin
dream,rêver / rêve
drive,"conduire / conduire (nom : drive = impulsion, mais rarement)"
driving,conduite
drop,laisser tomber / goutte
drug,drogue / médicament
dry,sec / sécher
earn,gagner (de l’argent)
earth,la Terre / terre
easily,facilement
education,éducation / enseignement
effect,effet
either,either...or : soit...soit / non plus (dans une phrase négative)
electric,électrique
electrical,électrique (lié à l’électricité en général)
electricity,électricité
electronic,électronique
employ,employer
employee,employé / employée
employer,employeur / employeuse
empty,vidé / vide
ending,la fin
energy,énergie
engine,moteur
engineer,ingénieur
enormous,énorme
enter,entrer
environment,environnement
equipment,équipement / matériel
error,erreur
especially,surtout / particulièrement
essay,redaction / dissertation
everyday,quotidien / de tous les jours
everywhere,partout
evidence,preuve(s)
exact,exact / précis
exactly,exactement
excellent,excellent
except,excepté / sauf
exist,exister
expect,s’attendre à / espérer
experience,expérience
experiment,expérience (scientifique)
expert,expert / spécialiste
explanation,explication
express,exprimer
expression,expression
extreme,extrême
extremely,extrêmement
factor,facteur / élément
factory,usine
fail,échouer
fair,juste / équitable
fall,tomber / chute
fan,ventilateur / fan / supporter
farm,ferme
farming,agriculture / exploitation agricole
fashion,mode
fat,gros / graisse
fear,peur
feature,caractéristique / fonction
feed,nourrir
female,femelle / femme
fiction,fiction
field,champ / domaine
fight,se battre / combat
figure,chiffre / silhouette
film,film
final,final / dernier
finally,enfin / finalement
finger,doigt
finish,terminer / fin
first,premier / d'abord
firstly,premièrement
fish,poisson
fishing,la pêche
fit,aller (taille) / en forme
fix,réparer / fixer
flat,appartement / plat
flu,grippe
fly,voler / mouche
flying,vol / en train de voler
focus,se concentrer / focus
following,suivant
foreign,étranger
forest,forêt
fork,fourchette
formal,formel
fortunately,heureusement
forward,en avant
free,gratuit / libre
fresh,frais
fridge,réfrigérateur
frog,grenouille
fun,amusant / amusement
furniture,meubles / mobilier
further,plus loin / davantage
future,avenir
gallery,galerie
gap,écart / vide / fossé
gas,gaz / essence (US)
gate,portail / porte
general,général / général(e)
gift,cadeau
goal,but / objectif
god,dieu
gold,or
golf,golf
good,bon / bien
government,gouvernement
grass,herbe / gazon
greet,saluer / accueillir
ground,sol / terrain
guest,invité / invitée
guide,guide / guider
gun,arme à feu / pistolet
guy,type / gars
habit,habitude
half,moitié
hall,salle / couloir
happily,joyeusement / avec bonheur
have,avoir
headache,mal de tête
heart,cœur
heat,chaleur / chauffer
heavy,lourd
height,taille / hauteur
helpful,serviable / utile
hero,héros
hers,à elle / le sien (féminin)
herself,elle-même
hide,cacher / se cacher
high,haut / élevé
hill,colline
himself,lui-même
his,à lui / le sien
hit,frapper / coup
hockey,hockey
hold,tenir
hole,trou
home,maison / chez soi
hope,espoir / espérer
huge,énorme
human,humain
hurt,blesser / faire mal
ideal,idéal
identify,identifier
ill,malade
illness,maladie
image,image
immediately,immédiatement
impossible,impossible
included,inclus / compris
including,incluant / y compris
increase,augmenter / augmentation
incredible,incroyable
independent,indépendant
individual,individu / individuel
industry,industrie
informal,informel
injury,blessure
insect,insecte
inside,à l’intérieur
instead,à la place
instruction,instruction / consigne
instructor,instructeur / formateur
instrument,instrument
intelligent,intelligent / intelligente
international,international
introduction,introduction / présentation
invent,inventer
invention,invention
invitation,invitation
invite,inviter
involve,impliquer
item,objet / élément / article
itself,lui-même / elle-même (neutre)
jam,confiture / embouteillage
jazz,jazz
jewellery,bijoux
joke,blague / plaisanter
journalist,journaliste
jump,sauter / saut
kid,enfant / gamin
kill,tuer
king,roi
knee,genou
knife,couteau
knock,frapper / coup
knowledge,connaissance / savoir
lab,laboratoire
lady,dame
lake,lac
lamp,lampe
land,terre / atterrir
laptop,ordinateur portable
last,dernier / durer
later,plus tard
laughter,rire
law,loi
lawyer,avocat / avocate
lazy,paresseux / paresseuse
lead,mener / diriger
leader,leader / chef
learning,apprentissage
least,le moins / au moins
lecture,conférence / cours magistral
lemon,citron
lend,prêter
less,moins
level,niveau
lifestyle,mode de vie
lift,ascenseur / soulever
light (a lamp),lumière / allumer
light (not heavy),léger
likely,probable / probablement
link,lien / relier
listener,auditeur / auditrice
little,petit / peu
lock,fermer à clé / serrure
look,regarder
lorry,camion
lost,perdu
loud,fort (bruit)
loudly,bruyamment
lovely,charmant / adorable
low,bas / faible
luck,chance
lucky,chanceux / chanceuse
mail,courrier / envoyer un mail
major,majeur / principal
male,mâle / masculin
manage,gérer / réussir à
manager,gestionnaire / directeur / directrice
manner,manière / comportement
mark,note / marque / marquer
marry,se marier
material,matière / matériau / matériel
mathematics,mathématiques
maths,maths
matter,importer / affaire / sujet
may modal,pouvoir (possibilité)
media,médias
medical,médical
medicine,médecine / médicament
memory,mémoire / souvenir
mention,mentionner
metal,métal
method,méthode
middle,milieu
might,pourrait / il se peut que
mind,esprit / déranger / faire attention
mine (belongs to me),le mien / la mienne
mirror,miroir
missing,manquant / disparu
mobile,portable / mobile
monkey,singe
moon,lune
mostly,surtout / principalement
motorcycle,moto
movement,mouvement
musical,musical / comédie musicale
musician,musicien / musicienne
myself,moi-même
narrow,étroit
national,national
nature,nature
nearly,presque
necessary,nécessaire
neck,cou
need,besoin / avoir besoin de
neither,aucun des deux / ni… ni…
nervous,nerveux / nerveuse
network,réseau
noise,bruit
noisy,bruyant
none,aucun / aucun(e) d’eux / d’elles
normal,normal
normally,normalement
notice,remarquer / avis
novel,roman
nowhere,nulle part
number,numéro / nombre
nut,noix / fruit à coque
ocean,océan
offer,offrir / offre
officer,officier / agent
oil,huile / pétrole
onto,sur (avec mouvement)
opportunity,opportunité / occasion
option,option / choix
ordinary,ordinaire
organisation,organisation
organise,organiser
original,original / d’origine
ourselves,nous-mêmes
outside,dehors / à l’extérieur
oven,four
own,posséder
pack,paquet / emballer
pain,douleur
painter,peintre
palace,palais
pants,pantalon (UK) / sous-vêtements (US)
parking,stationnement / parking
particular,particulier / spécifique
pass,passer / laissez-passer
passenger,passager / passagère
past,passé
patient,patient / patiente
pattern,motif / modèle
pay,payer
peace,paix
penny,penny (centime britannique)
per,par / pour
per cent,pour cent
perform,jouer / exécuter / accomplir
perhaps,peut-être
permission,permission / autorisation
personality,personnalité
pet,animal de compagnie
petrol,essence
photograph,photographie / photo
physical,physique / corporel
physics,physique (science)
pick,choisir / cueillir / ramasser
pilot,pilote
planet,planète
plant,plante / usine / planter
plastic,plastique
plate,assiette / plaque
platform,quai / plateforme
please,s’il te plaît / faire plaisir
pleased,content / satisfait
pocket,poche
polite,poli / polie
pollution,pollution
pop,pop / musique pop / éclater
population,population
position,position / poste
possession,possession
possibility,possibilité
poster,affiche
power,pouvoir / énergie
predict,prédire
present,cadeau / présenter / présent
president,président / présidente
prevent,prévenir / empêcher
print,imprimer / impression
printer,imprimante
prison,prison
prize,prix / récompense
process,processus
produce,produire
professional,professionnel / professionnelle
professor,professeur d’université
profile,profil
program,programme
progress,progrès
promise,promettre / promesse
pronounce,prononcer
protect,protéger
provide,fournir
pub,pub / bar
public,public
publish,publier
pull,tirer
purpose,but / objectif
push,pousser
quality,qualité
quantity,quantité
queen,reine
question,question
quietly,silencieusement / calmement
race (run),course / faire la course
railway,chemin de fer / voie ferrée
raise,élever / augmenter
rate,taux / évaluer
rather,assez / plutôt
reach,atteindre
react,réagir
realize,réaliser / se rendre compte
receive,recevoir
recent,récent
recently,récemment
reception,réception
recipe,recette (de cuisine)
recognise,reconnaître
recommend,recommander
record,enregistrer / enregistrement / disque
recording,enregistrement
recycle,recycler
reduce,réduire
refer,se référer à / mentionner
refuse,refuser
region,région
regular,régulier / régulière
relationship,relat​ion / lien
remove,retirer / enlever
repair,réparer / réparation
replace,remplacer
reply,répondre / réponse
report,rapport / signaler
reporter,journaliste / reporter
request,demande / requête / demander
research,recherche
researcher,chercheur / chercheuse
respond,répondre
response,réponse
rest,le reste / se reposer
review,revue / critique / réviser
ride,"se promener / balade / monter (à vélo, cheval…)"
ring,sonner / bague / anneau
ring (again),sonnerie / appeler
rise,s’élever / augmentation
rock,roche / rock (musique)
role,rôle
roof,toit
round,rond / tour / manche (jeu)
route,itinéraire / route
rubbish,ordures / bêtises (familier)
rude,impoli / grossier
run,courir / diriger
runner,coureur / coureuse
running,course / en train de courir / fonctionnement
sadly,tristement
safe,sûr / en sécurité
sail,naviguer / voile
sailing,navigation à voile
salary,salaire
sale,vente / soldes
sauce,sauce
save,sauver / économiser
scared,effrayé
scary,effrayant
scene,scène
schedule,emploi du temps / planning
score,score / résultat
screen,écran
search,chercher / recherche
season,saison
seat,siège / place
second (next),deuxième
secondly,deuxièmement
secret,secret
secretary,secrétaire
seem,sembler
sense,sens / impression
separate,séparer / séparé
series,série
serious,sérieux / sérieuse
serve,servir
service,service
several,plusieurs
shake,secouer
shall,devrait / allons-nous (formule polie ou future)
shape,form​e / silhouette
sheet,feuille / drap
ship,bateau
shoulder,épaule
shout,crier
shut,fermer
side,côté
sign,signe / panneau / signer
silver,argent (métal ou couleur)
simple,simple
since,depuis / puisque
singing,chant / chanter
single,seul / célibataire / unique
sir,monsieur
site,site / lieu
size,taille
ski,ski / skier
skiing,ski (activité)
skin,peau
sky,ciel
sleep,dormir / sommeil
slowly,lentement
smartphone,smartphone / téléphone intelligent
smell,odeur / sentir
smile,sourire
smoke,fumée / fumer
smoking,tabagisme / fumer
soap,savon
soccer,football
social,social
society,société
sock,chaussette
soft,doux / mou
soldier,soldat
solution,solution
solve,résoudre
somewhere,quelque part
sort,type / trier / genre
source,source
speaker,haut-parleur / orateur
specific,spécifique
speech,discours / parole
speed,vitesse
spider,araignée
spoon,cuillère
square,carré / place (publique)
stage,étape / scène
stair,marche (d’escalier)
stamp,timbre / tampon
star,étoile / vedette
start,début / commencer
state,état / déclarer
stay,rester / séjour
steal,voler
step,pas / étape
stomach,ventre / estomac
stone,pierre
store,magasin / stocker
storm,tempête
straight,droit / directement
strange,étrange
strategy,stratégie
stress,stress / souligner (verbe)
structure,structure
stupid,stupide
succeed,réussir
successful,qui a du succès / réussi
such,tel / tellement
suddenly,soudainement
suggest,suggérer / proposer
suggestion,suggestion / proposition
suit,costume / convenir
support,soutien / soutenir
suppose,supposer
sure,sûr / certaine
surprise,surprise
surprised,surpris
surprising,surprenant
survey,enquête / sondage
sweet,doux / sucré / bonbon
symbol,symbole
system,système
,
tablet,tablette
talk,parler / discussion
target,cible / objectif
task,tâche
taste,goût / goûter
teaching,enseignement
technology,technologie
teenage,adolescent
temperature,température
term,trimestre / terme
text,texte / message
themselves,eux-mêmes / elles-mêmes
thick,épais
thief,voleur / voleuse
thin,mince / fin
thinking,réflexion / pensée
third,troisième
thought,pensée / idée
throw,lancer / jeter
tidy,rangé / ranger
tie,cravate / attacher
tip,astuce / pourboire
tool,outil
top,sommet / haut
touch,toucher
tour,tour / visite
tourism,tourisme
towards,vers
towel,serviette
tower,tour
toy,jouet
track,piste / trace / morceau (musique)
tradition,tradition
traditional,traditionnel / traditionnelle
train,train / s’entraîner
trainer,entraîneur / chaussure de sport (UK)
training,formation / entraînement
transport,transport
traveller,voyageur / voyageuse
trouble,problème / difficulté
truck,camion
twin,jumeau / jumelle
typical,typique / habituel
,
underground,sous terre / métro
understanding,compréhension
